week,config_add,shell_add,python_add,docs_add,unknown_add,terraform_add,config_del,shell_del,python_del,docs_del,unknown_del,terraform_del,commit_feat,commit_refactor,commit_fix,commit_style,commit_test,commit_other,commit_docs,commit_chore,commit_ci,commit_perf,python_package,terraform_module,design_spec,uml_diagram,go_add,go_del,pypi_package,helm_chart,dockerfile,break%,deep_work%,deep_life%,overtime,vacation_days,work_days,life_days,public_holidays,life_hours,work_hours,sick_days
2022_31,1125.0,,5175.0,2885.0,172.0,7.0,134.0,,1827.0,925.0,35.0,1.0,64.0,13.0,35.0,9.0,24.0,3.0,8.0,20.0,,2.0,19.0,19.0,6.0,17.0,,,85.0,27.0,33.0,4.0,97.0,85.0,5.98,0.0,5.0,5.0,0.0,8.73,43.49,
2022_32,732.0,,4612.0,356.0,214.0,215.0,232.0,,3038.0,109.0,45.0,120.0,52.0,6.0,30.0,5.0,8.0,9.0,4.0,25.0,,,19.0,20.0,6.0,17.0,,,85.0,28.0,33.0,5.0,99.0,73.0,12.27,0.0,6.0,3.0,0.0,3.08,49.78,
2022_33,1041.0,,3341.0,590.0,79.0,546.0,271.0,,1314.0,227.0,25.0,33.0,53.0,3.0,30.0,9.0,11.0,4.0,3.0,28.0,,,20.0,22.0,6.0,17.0,,,86.0,29.0,33.0,4.0,83.0,80.0,-1.2400000000000002,0.0,5.0,7.0,0.0,15.78,36.25,
2022_34,208.0,,561.0,382.0,229.0,177.0,31.0,,180.0,126.0,4.0,56.0,12.0,1.0,9.0,,1.0,,2.0,1.0,,,20.0,22.0,6.0,18.0,,,86.0,29.0,33.0,4.0,85.0,24.0,-3.84,1.0,4.0,4.0,0.0,9.01,26.16,
2022_35,515.0,,1744.0,371.0,898.0,70.0,128.0,,727.0,163.0,71.0,19.0,35.0,1.0,17.0,6.0,9.0,2.0,2.0,19.0,,,20.0,23.0,6.0,18.0,,,89.0,29.0,33.0,2.0,57.0,23.0,9.830000000000002,0.0,7.0,4.0,0.0,5.44,47.32,
2022_36,828.0,,3414.0,632.0,724.0,,35.0,,756.0,72.0,0.0,,10.0,2.0,12.0,,4.0,1.0,7.0,3.0,,,20.0,23.0,7.0,22.0,,,89.0,30.0,34.0,5.0,91.0,100.0,17.85,0.0,7.0,7.0,0.0,6.92,55.36,
2022_37,27.0,,3424.0,413.0,25.0,,1.0,,568.0,103.0,5.0,,32.0,2.0,5.0,7.0,3.0,,4.0,7.0,,,21.0,23.0,7.0,22.0,,,91.0,30.0,34.0,5.0,94.0,,9.43,1.0,4.0,1.0,0.0,0.09,39.43,
2022_38,,,1418.0,124.0,,,,,925.0,5.0,,,16.0,1.0,5.0,1.0,1.0,,3.0,3.0,,1.0,21.0,23.0,7.0,22.0,,,91.0,30.0,34.0,7.0,98.0,100.0,3.3000000000000007,2.0,3.0,1.0,0.0,0.33,25.79,
2022_39,,,,,,,,,,,,,,,,,,,,,,,21.0,23.0,7.0,22.0,,,91.0,30.0,34.0,,,,0.0,5.0,0.0,0.0,0.0,,,
2022_39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022_40,,,,103.0,,,,,,0.0,,,,,,,,,1.0,,,,21.0,23.0,7.0,22.0,,,91.0,30.0,34.0,2.0,,71.0,0.0,5.0,0.0,2.0,0.0,5.75,,
